"trade_direction","TRUE LOSS","TRUE WIN","WEAK LOSS","WEAK WIN","NA","Perc","sd_factor_low","sd_factor_high","Total","risk_weighted_return","stop_factor","profit_factor"
"Long",1228,1214,34,81,NA,0.497133497133497,1,1.5,2442,0.367117117117117,4,7
"Long",2128,1966,73,221,2,0.480214948705423,10,15,4094,0.320591108939912,4,7
"Long",2419,2234,69,178,NA,0.480120352460778,0.5,1.5,4653,0.320330969267139,4,7
"Long",3019,2752,102,165,NA,0.476867094091145,8,12,5771,0.31138450875065,4,7
"Long",2858,2550,100,269,2,0.471523668639053,9,13.5,5408,0.296690088757396,4,7
"Long",4770,4238,157,344,2,0.470470692717584,7,14,9008,0.293794404973357,4,7
"Long",4528,4002,152,339,2,0.469167643610785,8,16,8530,0.29021101992966,4,7
"Long",3414,2971,92,168,NA,0.46530931871574,1,2,6385,0.279600626468285,4,7
"Long",4605,3991,127,265,NA,0.464285714285714,0.5,2,8596,0.276785714285714,4,7
"Long",3384,2918,103,282,2,0.46302761028245,9,18,6302,0.273325928276738,4,7
"Long",2918,2511,88,145,NA,0.462516117148646,7,10.5,5429,0.271919322158777,4,7
"Long",1191,1020,35,97,NA,0.461329715061058,0.5,1,2211,0.26865671641791,4,7
"Long",6847,5634,147,338,NA,0.45140613732874,0,2,12481,0.241366877654034,4,7
"Long",5469,4494,165,379,2,0.451068955133996,8,24,9963,0.240439626618489,4,7
"Long",1628,1337,50,174,2,0.450927487352445,12,18,2965,0.240050590219224,4,7
"Short",1426,1058,17,71,1,0.425925925925926,0.5,0.75,2484,0.171296296296296,4,7
"Short",2929,2129,35,112,4,0.420917358639779,0.5,1,5058,0.157522736259391,4,7
"Short",7141,5119,156,297,15,0.417536704730832,0.5,2,12260,0.148225938009788,4,7
"Short",2853,2044,86,137,8,0.417398407188074,1.5,2.25,4897,0.147845619767204,4,7
"Short",5114,3638,81,192,11,0.415676416819013,0.5,1.5,8752,0.143110146252285,4,7
"Short",4212,2990,121,185,11,0.415162454873646,1,2,7202,0.141696750902527,4,7
"Short",9830,6895,214,384,20,0.412257100149477,0,2,16725,0.133707025411061,4,7
"Short",5618,3905,93,199,9,0.410059855087682,0,1,9523,0.127664601491127,4,7
"Short",2185,1509,46,80,7,0.408500270709258,1,1.5,3694,0.12337574445046,4,7
"Short",13612,9295,272,563,32,0.405771161653643,0,3,22907,0.115870694547518,4,7
"Short",7994,5390,179,364,23,0.402719665271967,1,3,13384,0.107479079497908,4,7
"Short",5809,3881,133,284,16,0.400515995872033,1.5,3,9690,0.101418988648091,4,7
"Short",17430,11334,304,703,77,0.394034209428452,0,4,28764,0.0835940759282436,4,7
"Short",7857,5087,206,640,733,0.393000618046972,4,6,12944,0.0807516996291718,4,7
"Short",3782,2400,58,179,12,0.38822387576836,2,3,6182,0.0676156583629894,4,7
